@RELATION waxzce 

 @ATTRIBUTE 2015 {0,1} %length :35
 @ATTRIBUTE 2016 {0,1} %length :30
 @ATTRIBUTE your {0,1} %length :74
 @ATTRIBUTE talk {0,1} %length :72
 @ATTRIBUTE introducing {0,1} %length :22
 @ATTRIBUTE vous {0,1} %length :43
 @ATTRIBUTE coup {0,1} %length :24
 @ATTRIBUTE support {0,1} %length :25
 @ATTRIBUTE security {0,1} %length :36
 @ATTRIBUTE gcouprie {0,1} %length :76
 @ATTRIBUTE just {0,1} %length :37
 @ATTRIBUTE work {0,1} %length :23
 @ATTRIBUTE clever_cloud {0,1} %length :262
 @ATTRIBUTE have {0,1} %length :55
 @ATTRIBUTE plus {0,1} %length :60
 @ATTRIBUTE cool {0,1} %length :39
 @ATTRIBUTE what {0,1} %length :87
 @ATTRIBUTE about {0,1} %length :69
 @ATTRIBUTE using {0,1} %length :39
 @ATTRIBUTE time {0,1} %length :35
 @ATTRIBUTE still {0,1} %length :23
 @ATTRIBUTE sure {0,1} %length :32
 @ATTRIBUTE clementd {0,1} %length :138
 @ATTRIBUTE yeah {0,1} %length :20
 @ATTRIBUTE 2wwtx0jefw {0,1} %length :45
 @ATTRIBUTE framework {0,1} %length :23
 @ATTRIBUTE that {0,1} %length :61
 @ATTRIBUTE with {0,1} %length :178
 @ATTRIBUTE real {0,1} %length :24
 @ATTRIBUTE people {0,1} %length :20
 @ATTRIBUTE this {0,1} %length :125
 @ATTRIBUTE javascript {0,1} %length :74
 @ATTRIBUTE should {0,1} %length :22
 @ATTRIBUTE nmartignole {0,1} %length :82
 @ATTRIBUTE clever {0,1} %length :97
 @ATTRIBUTE pour {0,1} %length :110
 @ATTRIBUTE released {0,1} %length :21
 @ATTRIBUTE scala {0,1} %length :47
 @ATTRIBUTE cloud {0,1} %length :117
 @ATTRIBUTE blog {0,1} %length :45
 @ATTRIBUTE nice {0,1} %length :41
 @ATTRIBUTE linux {0,1} %length :23
 @ATTRIBUTE rust {0,1} %length :57
 @ATTRIBUTE from {0,1} %length :71
 @ATTRIBUTE docker {0,1} %length :27
 @ATTRIBUTE more {0,1} %length :42
 @ATTRIBUTE read {0,1} %length :20
 @ATTRIBUTE urcadox {0,1} %length :24
 @ATTRIBUTE part {0,1} %length :26
 @ATTRIBUTE clever_support {0,1} %length :48
 @ATTRIBUTE will {0,1} %length :47
 @ATTRIBUTE there {0,1} %length :42
 @ATTRIBUTE bien {0,1} %length :42
 @ATTRIBUTE mais {0,1} %length :79
 @ATTRIBUTE very {0,1} %length :30
 @ATTRIBUTE free {0,1} %length :24
 @ATTRIBUTE awesome {0,1} %length :42
 @ATTRIBUTE slides {0,1} %length :21
 @ATTRIBUTE punkeel {0,1} %length :23
 @ATTRIBUTE redis {0,1} %length :33
 @ATTRIBUTE code {0,1} %length :53
 @ATTRIBUTE node {0,1} %length :47
 @ATTRIBUTE like {0,1} %length :46
 @ATTRIBUTE great {0,1} %length :22
 @ATTRIBUTE here {0,1} %length :32
 @ATTRIBUTE react {0,1} %length :27
 @ATTRIBUTE nantes {0,1} %length :32
 @ATTRIBUTE data {0,1} %length :33
 @ATTRIBUTE merci {0,1} %length :52
 @ATTRIBUTE rgaidot {0,1} %length :34
 @ATTRIBUTE waxzce {0,1} %length :163
 @ATTRIBUTE really {0,1} %length :31
 @ATTRIBUTE avec {0,1} %length :74
 @ATTRIBUTE juste {0,1} %length :23
 @ATTRIBUTE tout {0,1} %length :56
 @ATTRIBUTE need {0,1} %length :33
 @ATTRIBUTE know {0,1} %length :23
 @ATTRIBUTE faire {0,1} %length :45
 @ATTRIBUTE google {0,1} %length :39
 @ATTRIBUTE world {0,1} %length :23
 @ATTRIBUTE comme {0,1} %length :28
 @ATTRIBUTE quand {0,1} %length :25
 @ATTRIBUTE tech {0,1} %length :31
 @ATTRIBUTE html5 {0,1} %length :25
 @ATTRIBUTE open {0,1} %length :37
 @ATTRIBUTE source {0,1} %length :28
 @ATTRIBUTE startup {0,1} %length :26
 @ATTRIBUTE cyril_lakech {0,1} %length :29
 @ATTRIBUTE prod {0,1} %length :20
 @ATTRIBUTE build {0,1} %length :23
 @ATTRIBUTE service {0,1} %length :35
 @ATTRIBUTE nous {0,1} %length :25
 @ATTRIBUTE dans {0,1} %length :68
 @ATTRIBUTE yoanngrange {0,1} %length :28
 @ATTRIBUTE medium {0,1} %length :47
 @ATTRIBUTE gausby {0,1} %length :31
 @ATTRIBUTE lostinbrittany {0,1} %length :24
 @ATTRIBUTE conf {0,1} %length :24
 @ATTRIBUTE postgresql {0,1} %length :20
 @ATTRIBUTE chez {0,1} %length :22
 @ATTRIBUTE ndeloof {0,1} %length :48
 @ATTRIBUTE sont {0,1} %length :24
 @ATTRIBUTE server {0,1} %length :30
 @ATTRIBUTE fast {0,1} %length :20
 @ATTRIBUTE fgribreau {0,1} %length :43
 @ATTRIBUTE quentin {0,1} %length :25
 @ATTRIBUTE adam {0,1} %length :23
 @ATTRIBUTE good {0,1} %length :28
 @ATTRIBUTE fait {0,1} %length :52
 @ATTRIBUTE aussi {0,1} %length :27
 @ATTRIBUTE hsablonniere {0,1} %length :27
 @ATTRIBUTE when {0,1} %length :24
 @ATTRIBUTE beaucoup {0,1} %length :21
 @ATTRIBUTE simple {0,1} %length :20
 @ATTRIBUTE soir {0,1} %length :26
 @ATTRIBUTE super {0,1} %length :20
 @ATTRIBUTE thedamfr {0,1} %length :26
 @ATTRIBUTE java {0,1} %length :23
 @ATTRIBUTE peut {0,1} %length :27
 @ATTRIBUTE suis {0,1} %length :33
 @ATTRIBUTE k33g_org {0,1} %length :25
 @ATTRIBUTE sdouche {0,1} %length :44
 @ATTRIBUTE chtijug {0,1} %length :25
 @ATTRIBUTE conducteur_prg {0,1} %length :31


@data 
0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
